City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vao,NC,74.21,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
6,Faanui,PF,81.19,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Fatehgarh Churian,IN,80.46,clear sky,31.8621,74.9553,Mahal
9,Kapaa,US,76.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Siocon,PH,78.42,scattered clouds,7.7061,122.1353,ABS Hotel
13,Rikitea,PF,73.2,moderate rain,-23.1203,-134.9692,People ThankYou
14,Half Moon Bay,US,73.11,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
16,Saint Andrews,US,85.59,scattered clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
18,Batangafo,CF,80.92,overcast clouds,7.3008,18.2833,OCHA Office
23,Matara,LK,78.22,light rain,5.9485,80.5353,Amaloh Boutique Resort
24,Vanimo,PG,77.99,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
29,Hilo,US,78.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Mount Pleasant,US,83.17,clear sky,32.7941,-79.8626,Best Western Patriots Point
34,Barranco,PA,87.93,scattered clouds,9.5167,-82.7,Casa doña Delfina Jiménez
39,Port Keats,AU,79.32,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
40,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Kihei,US,77.85,scattered clouds,20.785,-156.4656,Maui Sunset
43,Maldonado,UY,79.99,clear sky,-34.6667,-54.9167,La Cimarrona
44,Hithadhoo,MV,84.74,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Chuy,UY,74.98,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
52,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Albertville,US,79.66,scattered clouds,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
54,Gat,IL,76.41,light rain,31.61,34.7642,OlusHome
57,Kharan,PK,83.28,clear sky,28.5833,65.4167,Dil Aram Bangla
60,Dingle,PH,77.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
63,Atuona,PF,78.98,clear sky,-9.8,-139.0333,Villa Enata
64,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
65,Sarangani,PH,82.8,overcast clouds,5.4033,125.4636,Ballistic Islet
67,San Alberto,CO,86.05,broken clouds,7.7611,-73.3922,Hotel San Alberto Plaza
69,Liberty,US,84.45,few clouds,31.8335,-81.5004,Sasser’s Mobile Home Park
70,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
71,Vallenar,CL,75.25,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
72,Lyndon,US,82.8,overcast clouds,38.2567,-85.6016,SpringHill Suites by Marriott Louisville Hurstbourne/North
75,Dzaoudzi,YT,82.29,scattered clouds,-12.7887,45.2699,Le Rocher
80,Kavaratti,IN,84.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
81,Mar Del Plata,AR,76.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
84,Castro,BR,75.96,clear sky,-24.7911,-50.0119,CHACARA BAILLY
85,Cidreira,BR,70.59,clear sky,-30.1811,-50.2056,Hotel Castelo
90,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
97,Butaritari,KI,80.31,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Pamekasan,ID,78.96,few clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
103,Lompoc,US,84.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
