City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,54.72,87,25,4.76,light rain
1,Vao,NC,-22.6667,167.4833,74.21,64,100,23.8,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,59.18,83,95,1.99,overcast clouds
3,Syava,RU,58.0146,46.3222,44.22,90,96,6.53,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,44.26,70,75,6.91,broken clouds
5,Naze,JP,28.3667,129.4833,68.92,91,14,6.73,few clouds
6,Faanui,PF,-16.4833,-151.75,81.19,70,19,6.42,few clouds
7,Mbanza-Ngungu,CD,-5.25,14.8667,69.42,96,100,4.14,light rain
8,Fatehgarh Churian,IN,31.8621,74.9553,80.46,21,7,7.09,clear sky
9,Kapaa,US,22.0752,-159.319,76.12,82,27,5.01,scattered clouds
10,Vaini,TO,-21.2,-175.2,69.96,94,75,1.14,broken clouds
11,Siocon,PH,7.7061,122.1353,78.42,86,47,3.2,scattered clouds
12,Pacific Grove,US,36.6177,-121.9166,69.35,78,5,11.01,clear sky
13,Rikitea,PF,-23.1203,-134.9692,73.2,87,100,12.37,moderate rain
14,Half Moon Bay,US,37.4636,-122.4286,73.11,70,0,6.91,clear sky
15,Cape Town,ZA,-33.9258,18.4232,59.41,77,20,10.36,few clouds
16,Saint Andrews,US,34.0454,-81.1293,85.59,42,40,6.91,scattered clouds
17,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,14.97,scattered clouds
18,Batangafo,CF,7.3008,18.2833,80.92,63,100,2.91,overcast clouds
19,Beringovskiy,RU,63.05,179.3167,19.24,96,99,0.87,overcast clouds
20,Tasiilaq,GL,65.6145,-37.6368,36.48,70,100,3.91,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,53.47,92,100,5.84,overcast clouds
22,Busselton,AU,-33.65,115.3333,64.96,50,98,12.64,overcast clouds
23,Matara,LK,5.9485,80.5353,78.22,88,25,0.65,light rain
24,Vanimo,PG,-2.6741,141.3028,77.99,87,96,3.65,overcast clouds
25,Yellowknife,CA,62.456,-114.3525,28.92,64,20,13.8,few clouds
26,East London,ZA,-33.0153,27.9116,61.74,88,20,10.36,few clouds
27,Wladyslawowo,PL,54.7909,18.4009,45.93,93,79,15.73,broken clouds
28,Saldanha,ZA,-33.0117,17.9442,55.45,82,0,15.84,clear sky
29,Hilo,US,19.7297,-155.09,78.28,99,65,1.01,broken clouds
30,Mount Pleasant,US,32.7941,-79.8626,83.17,52,0,9.22,clear sky
31,Nikolskoye,RU,59.7035,30.7861,45.88,90,100,10.63,light rain
32,Rundu,NA,-17.9333,19.7667,68.9,36,22,3.49,few clouds
33,Raudeberg,NO,61.9875,5.1352,47.07,83,35,15.77,scattered clouds
34,Barranco,PA,9.5167,-82.7,87.93,60,35,7.65,scattered clouds
35,Somerset East,ZA,-32.7217,25.588,50.61,87,100,9.53,overcast clouds
36,Albany,US,42.6001,-73.9662,68.43,33,90,1.01,overcast clouds
37,Ancud,CL,-41.8697,-73.8203,46.22,76,100,24.76,light rain
38,Dikson,RU,73.5069,80.5464,5.23,96,96,12.57,overcast clouds
39,Port Keats,AU,-14.25,129.55,79.32,49,100,6.06,overcast clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,75.16,76,28,12.88,scattered clouds
41,Kihei,US,20.785,-156.4656,77.85,76,40,12.66,scattered clouds
42,Kenora,CA,49.8167,-94.4337,40.17,93,100,5.75,overcast clouds
43,Maldonado,UY,-34.6667,-54.9167,79.99,31,0,14.72,clear sky
44,Hithadhoo,MV,-0.6,73.0833,84.74,72,88,10.71,overcast clouds
45,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,100,13.69,light rain
46,Port Lincoln,AU,-34.7333,135.8667,64.27,80,100,3.29,overcast clouds
47,Asau,RO,46.4333,26.4,60.28,82,100,3.85,overcast clouds
48,Hobart,AU,-42.8794,147.3294,54.27,90,100,5.75,overcast clouds
49,Mount Isa,AU,-20.7333,139.5,65.97,100,100,6.91,light intensity shower rain
50,Seoul,KR,37.5683,126.9778,62.2,94,75,3.44,light intensity drizzle
51,Chuy,UY,-33.6971,-53.4616,74.98,34,0,10.02,clear sky
52,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,20,11.5,few clouds
53,Albertville,US,34.2676,-86.2089,79.66,45,40,11.5,scattered clouds
54,Gat,IL,31.61,34.7642,76.41,100,4,4.61,light rain
55,Coihaique,CL,-45.5752,-72.0662,41.61,93,100,8.05,fog
56,Barrow,US,71.2906,-156.7887,16.75,93,100,10.29,overcast clouds
57,Kharan,PK,28.5833,65.4167,83.28,18,2,6.33,clear sky
58,Timmins,CA,48.4669,-81.3331,55.22,54,100,12.66,overcast clouds
59,Cantaura,VE,9.3057,-64.3584,97.3,25,44,7.23,scattered clouds
60,Dingle,PH,10.9995,122.6711,77.05,91,100,6.46,overcast clouds
61,Villazon,BO,-22.0866,-65.5942,63.91,7,7,7.43,clear sky
62,Ponta Do Sol,PT,32.6667,-17.1,66.7,72,80,7.34,broken clouds
63,Atuona,PF,-9.8,-139.0333,78.98,76,8,15.12,clear sky
