City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,81.28,76,40,6.91,US,2022-04-23 01:06:25
1,Rikitea,-23.1203,-134.9692,72.28,87,100,7.76,PF,2022-04-23 01:03:56
2,Honiara,-9.4333,159.95,83.7,79,93,4.99,SB,2022-04-23 01:06:26
3,Bredasdorp,-34.5322,20.0403,54.59,66,0,5.28,ZA,2022-04-23 01:06:27
4,Jamestown,42.097,-79.2353,51.53,58,0,6.91,US,2022-04-23 01:06:14
5,Obera,-27.4871,-55.1199,64.71,100,100,1.99,AR,2022-04-23 01:06:28
6,Shingu,33.7333,135.9833,75.06,48,100,4.7,JP,2022-04-23 01:06:28
7,Lorengau,-2.0226,147.2712,84.04,75,88,6.69,PG,2022-04-23 01:04:31
8,Pedro Ii,-4.4247,-41.4586,68.25,93,95,3.27,BR,2022-04-23 01:06:29
9,Komsomolskiy,40.4272,71.7189,54.32,66,0,6.91,UZ,2022-04-23 01:04:30
10,Te Anau,-45.4167,167.7167,57.52,56,23,7.07,NZ,2022-04-23 01:03:52
11,Sarangani,5.4033,125.4636,80.89,81,100,22.3,PH,2022-04-23 01:06:30
12,Ushuaia,-54.8,-68.3,42.46,75,40,2.3,AR,2022-04-23 01:05:51
13,Aksha,50.2814,113.2867,38.57,56,93,9.75,RU,2022-04-23 01:06:31
14,Bluff,-46.6,168.3333,58.8,70,21,28.88,NZ,2022-04-23 01:03:02
15,Morro Bay,35.3658,-120.8499,64.72,75,52,11.01,US,2022-04-23 01:03:04
16,East London,-33.0153,27.9116,62.74,86,100,11.45,ZA,2022-04-23 01:03:43
17,Hermanus,-34.4187,19.2345,51.8,70,0,10.76,ZA,2022-04-23 01:06:01
18,Mahajanga,-15.7167,46.3167,77.02,94,40,3.44,MG,2022-04-23 01:06:32
19,Umm Kaddadah,13.6017,26.6876,79.41,14,29,10.94,SD,2022-04-23 01:06:33
20,Barrow,71.2906,-156.7887,15.82,86,100,4.61,US,2022-04-23 01:05:02
21,Akyab,20.15,92.9,81.95,76,0,4.07,MM,2022-04-23 01:06:33
22,Port Alfred,-33.5906,26.891,58.17,95,100,6.06,ZA,2022-04-23 01:06:34
23,Gabu,12.2833,-14.2167,74.97,69,100,6.02,GW,2022-04-23 01:06:34
24,Ust-Tsilma,65.441,52.1498,26.02,95,99,8.16,RU,2022-04-23 01:06:35
25,Loharu,28.45,75.8167,78.46,21,0,2.82,IN,2022-04-23 01:06:36
26,Atuona,-9.8,-139.0333,78.89,75,7,12.71,PF,2022-04-23 01:06:36
27,Labuhan,-6.8844,112.2051,82.06,82,18,6.85,ID,2022-04-23 01:01:40
28,Varde,55.6211,8.4807,43.99,84,1,6.91,DK,2022-04-23 01:06:37
29,Beberibe,-4.1797,-38.1306,78.06,86,100,9.98,BR,2022-04-23 01:06:37
30,Bodden Town,19.2833,-81.25,80.92,79,20,11.5,KY,2022-04-23 01:06:38
31,Kautokeino,69.0125,23.0412,27.32,92,87,2.48,NO,2022-04-23 01:06:38
32,Erzurum,40.0,41.5,33.48,55,12,3.96,TR,2022-04-23 01:06:39
33,New Norfolk,-42.7826,147.0587,59.92,48,2,4.03,AU,2022-04-23 01:03:10
34,Pevek,69.7008,170.3133,14.63,91,92,5.57,RU,2022-04-23 01:05:29
35,Hovd,48.0056,91.6419,39.69,43,92,5.53,MN,2022-04-23 01:06:40
36,Georgetown,5.4112,100.3354,76.93,94,40,9.22,MY,2022-04-23 01:06:40
37,Aklavik,68.2191,-135.0107,25.68,87,99,18.01,CA,2022-04-23 01:03:20
38,Nikolskoye,59.7035,30.7861,40.8,81,90,4.14,RU,2022-04-23 01:02:34
39,Kodiak,57.79,-152.4072,42.31,81,75,11.5,US,2022-04-23 01:06:42
40,Mount Darwin,-16.7725,31.5838,60.85,99,39,1.41,ZW,2022-04-23 01:06:42
41,Bengkulu,-3.8004,102.2655,78.78,80,99,5.66,ID,2022-04-23 01:06:43
42,Khatanga,71.9667,102.5,5.83,91,86,7.92,RU,2022-04-23 01:01:57
43,Chuy,-33.6971,-53.4616,53.98,94,100,6.69,UY,2022-04-23 01:06:44
44,Sorland,67.667,12.6934,40.78,72,84,15.79,NO,2022-04-23 01:06:44
45,Gorontalo,0.5412,123.0595,83.32,79,100,2.48,ID,2022-04-23 01:02:57
46,Busselton,-33.65,115.3333,63.46,59,0,13.62,AU,2022-04-23 01:06:45
47,Albany,42.6001,-73.9662,50.79,57,5,4.92,US,2022-04-23 01:04:29
48,Srandakan,-7.9386,110.2506,81.03,75,41,2.71,ID,2022-04-23 01:07:46
49,Cherskiy,68.75,161.3,24.85,86,100,8.39,RU,2022-04-23 01:03:07
50,Belem De Sao Francisco,-8.7539,-38.9658,78.1,67,24,12.77,BR,2022-04-23 01:07:47
51,Kapaa,22.0752,-159.319,80.58,87,47,8.01,US,2022-04-23 01:03:03
52,Linjiang,41.8069,126.9078,57.49,30,0,7.45,CN,2022-04-23 01:07:48
53,Ulladulla,-35.35,150.4667,65.77,76,97,3.36,AU,2022-04-23 01:07:48
54,Launceston,-41.45,147.1667,60.62,66,0,6.91,AU,2022-04-23 01:03:13
55,Dikson,73.5069,80.5464,-4.34,100,100,5.41,RU,2022-04-23 01:07:49
56,Norman Wells,65.282,-126.8329,30.09,80,93,10.74,CA,2022-04-23 01:05:23
57,Victoria,22.2855,114.1577,83.97,85,9,5.01,HK,2022-04-23 01:05:41
58,Tual,-5.6667,132.75,83.16,71,100,2.13,ID,2022-04-23 01:07:50
59,Arraial Do Cabo,-22.9661,-42.0278,75.83,83,0,7.9,BR,2022-04-23 01:07:50
60,Almeria,37.1667,-2.3333,50.77,80,79,14.61,ES,2022-04-23 01:07:50
61,Kaitangata,-46.2817,169.8464,59.05,56,15,10.83,NZ,2022-04-23 01:07:51
62,Altamira,-3.2033,-52.2064,72.19,99,100,2.59,BR,2022-04-23 01:05:26
63,Olafsvik,64.8945,-23.7142,45.01,87,73,8.75,IS,2022-04-23 01:03:01
64,Mataura,-46.1927,168.8643,58.48,57,51,8.12,NZ,2022-04-23 01:03:09
65,El Estor,15.5333,-89.35,73.6,92,13,2.53,GT,2022-04-23 01:07:52
66,Krivosheino,57.3431,83.9261,18.73,79,56,11.25,RU,2022-04-23 01:07:52
67,Hauterive,46.0901,3.4459,52.56,95,100,4.18,FR,2022-04-23 01:07:53
68,San Cristobal,7.7669,-72.225,71.78,92,34,2.75,VE,2022-04-23 01:04:43
69,Sao Filipe,14.8961,-24.4956,72.55,81,10,3.11,CV,2022-04-23 01:04:11
70,Gdov,58.7406,27.8122,40.23,89,100,3.89,RU,2022-04-23 01:07:55
71,Butaritari,3.0707,172.7902,82.62,72,12,19.64,KI,2022-04-23 01:07:55
72,Maragheh,37.3917,46.2398,52.77,33,0,2.39,IR,2022-04-23 01:07:56
73,Hambantota,6.1241,81.1185,75.54,100,20,2.3,LK,2022-04-23 01:07:56
74,Cuamba,-14.8031,36.5372,67.6,94,74,5.32,MZ,2022-04-23 01:07:57
75,Saint George,37.1041,-113.5841,56.43,58,0,9.22,US,2022-04-23 01:05:57
76,San Patricio,28.017,-97.5169,77.9,81,33,18.25,US,2022-04-23 01:05:56
77,Thinadhoo,0.5333,72.9333,84.16,74,93,11.39,MV,2022-04-23 01:07:58
78,Laguna De Perlas,12.3429,-83.6712,77.65,88,22,9.1,NI,2022-04-23 01:07:58
79,Taoudenni,22.6783,-3.9836,76.87,10,99,9.95,ML,2022-04-23 01:07:58
80,Vaini,-21.2,-175.2,82.56,74,20,4.61,TO,2022-04-23 01:07:59
81,Garwa,24.1833,83.8167,83.37,26,3,3.22,IN,2022-04-23 01:07:59
82,Talnakh,69.4865,88.3972,2.21,88,97,0.65,RU,2022-04-23 01:04:49
83,Bud,39.447,-86.1758,73.38,79,4,8.08,US,2022-04-23 01:08:00
84,Kavaratti,10.5669,72.642,84.42,73,90,3.89,IN,2022-04-23 01:08:01
85,Leningradskiy,69.3833,178.4167,21.0,91,86,4.81,RU,2022-04-23 01:08:01
86,Klaksvik,62.2266,-6.589,41.92,79,100,17.78,FO,2022-04-23 01:08:02
87,Tchollire,8.4022,14.1698,82.11,53,26,3.29,CM,2022-04-23 01:08:02
88,Ancud,-41.8697,-73.8203,58.23,96,100,32.73,CL,2022-04-23 01:08:02
89,Igarka,67.4667,86.5833,17.69,95,97,8.84,RU,2022-04-23 01:08:03
90,Port Elizabeth,-33.918,25.5701,60.1,99,100,1.99,ZA,2022-04-23 01:09:03
91,Severo-Kurilsk,50.6789,156.125,38.43,99,100,12.37,RU,2022-04-23 01:09:04
92,Punta Arenas,-53.15,-70.9167,46.51,76,75,4.61,CL,2022-04-23 01:06:26
93,Taksimo,56.3444,114.8794,25.12,63,8,0.89,RU,2022-04-23 01:09:05
94,Tasiilaq,65.6145,-37.6368,33.96,93,100,3.62,GL,2022-04-23 01:09:06
95,Savannakhet,16.566,104.751,83.48,67,44,2.51,LA,2022-04-23 01:09:06
96,North Bend,43.4065,-124.2243,59.92,80,0,9.22,US,2022-04-23 01:09:07
97,Barcelona,41.3888,2.159,59.76,83,75,3.44,ES,2022-04-23 01:08:35
98,Lavrentiya,65.5833,-171.0,32.05,80,5,2.71,RU,2022-04-23 01:09:08
99,Yellowknife,62.456,-114.3525,33.42,95,98,0.87,CA,2022-04-23 01:09:09
100,Saint-Philippe,-21.3585,55.7679,74.79,81,91,14.67,RE,2022-04-23 01:09:10
101,Deputatskiy,69.3,139.9,10.89,88,92,1.66,RU,2022-04-23 01:09:11
102,Puerto Carreno,6.189,-67.4859,81.88,69,54,1.86,CO,2022-04-23 01:09:11
103,Astana,51.1801,71.446,24.75,80,0,6.71,KZ,2022-04-23 01:04:23
104,Cabo San Lucas,22.8909,-109.9124,81.61,49,0,10.36,MX,2022-04-23 01:04:38
105,Dhidhdhoo,6.8833,73.1,83.23,73,100,5.3,MV,2022-04-23 01:09:13
106,Marsaxlokk,35.8419,14.5431,59.07,88,0,6.91,MT,2022-04-23 01:09:13
107,San Juan De Colon,8.0313,-72.2605,72.99,92,40,1.99,VE,2022-04-23 01:09:14
108,Mitsamiouli,-11.3847,43.2844,79.72,80,100,12.15,KM,2022-04-23 01:05:02
109,Rujewa,-8.7,34.3833,65.66,80,36,6.24,TZ,2022-04-23 01:09:15
110,Tilichiki,60.4667,166.1,26.71,85,100,3.42,RU,2022-04-23 01:09:16
111,Kavieng,-2.5744,150.7967,83.03,77,41,10.36,PG,2022-04-23 01:09:16
112,Bilma,18.6853,12.9164,89.78,12,0,6.55,NE,2022-04-23 01:09:17
113,Sakakah,29.9697,40.2064,70.93,14,100,17.47,SA,2022-04-23 01:09:11
114,Baykit,61.67,96.37,31.55,85,100,5.03,RU,2022-04-23 01:05:12
115,Chapais,49.7834,-74.8492,21.25,86,27,6.58,CA,2022-04-23 01:09:18
116,Kisaran,2.9845,99.6158,75.15,97,100,0.31,ID,2022-04-23 01:09:18
117,Goderich,43.7501,-81.7165,41.92,78,100,5.77,CA,2022-04-23 01:09:19
118,Zhob,31.3411,69.4481,62.71,49,50,2.46,PK,2022-04-23 01:09:19
119,Fort Nelson,58.8053,-122.7002,38.79,88,100,2.84,CA,2022-04-23 01:09:20
120,Hobyo,5.3505,48.5268,82.74,74,79,10.07,SO,2022-04-23 01:09:20
121,Belaya Gora,68.5333,146.4167,18.9,85,100,5.26,RU,2022-04-23 01:09:21
122,Husavik,66.0449,-17.3389,42.55,80,87,4.92,IS,2022-04-23 01:04:39
123,Kutum,14.2,24.6667,75.74,14,100,8.72,SD,2022-04-23 01:09:22
124,Diego De Almagro,-26.3667,-70.05,61.77,55,0,1.14,CL,2022-04-23 01:09:22
125,Amahai,-3.3333,128.9167,84.87,71,100,0.38,ID,2022-04-23 01:09:23
126,Sawakin,19.1059,37.3321,80.71,79,17,4.61,SD,2022-04-23 01:09:23
127,Naze,28.3667,129.4833,73.18,85,100,13.04,JP,2022-04-23 01:09:24
128,Sitka,57.0531,-135.33,46.29,71,100,9.22,US,2022-04-23 01:05:22
129,Hasaki,35.7333,140.8333,68.29,72,100,5.55,JP,2022-04-23 01:09:24
130,Progreso,21.2833,-89.6667,81.1,76,0,20.11,MX,2022-04-23 01:09:25
131,Jizan,17.3333,42.6667,83.98,64,98,2.1,SA,2022-04-23 01:09:25
132,Isla Mujeres,21.2311,-86.731,78.85,76,14,14.0,MX,2022-04-23 01:06:25
133,Evensk,61.95,159.2333,25.39,75,36,0.78,RU,2022-04-23 01:09:26
134,Bonfim,3.0833,-59.95,79.57,71,94,2.95,BR,2022-04-23 01:09:26
135,Pisco,-13.7,-76.2167,65.01,88,0,12.66,PE,2022-04-23 01:09:27
136,Katsuura,35.1333,140.3,69.87,69,98,18.61,JP,2022-04-23 01:09:27
137,Castro,-24.7911,-50.0119,59.65,91,1,3.76,BR,2022-04-23 01:09:28
138,Havre-Saint-Pierre,50.2334,-63.5986,34.16,93,100,12.66,CA,2022-04-23 01:10:28
139,Egvekinot,66.3167,-179.1667,22.84,89,100,3.04,RU,2022-04-23 01:10:28
140,Ust-Kuyga,70.0167,135.6,14.29,85,84,1.68,RU,2022-04-23 01:10:29
141,Riohacha,11.5444,-72.9072,77.43,84,66,4.52,CO,2022-04-23 01:10:29
142,Sergach,55.5308,45.4661,36.03,77,50,2.71,RU,2022-04-23 01:10:30
143,Saldanha,-33.0117,17.9442,57.31,76,0,17.13,ZA,2022-04-23 01:10:30
144,Mahebourg,-20.4081,57.7,75.49,60,20,13.8,MU,2022-04-23 01:10:31
145,Touros,-5.1989,-35.4608,77.16,92,100,7.18,BR,2022-04-23 01:10:31
146,Mehamn,71.0357,27.8492,36.45,80,95,15.17,NO,2022-04-23 01:08:47
147,Upernavik,72.7868,-56.1549,-0.18,99,32,4.09,GL,2022-04-23 01:10:07
148,Beringovskiy,63.05,179.3167,29.1,85,100,2.37,RU,2022-04-23 01:10:32
149,Madang,-5.2246,145.7966,75.45,93,100,7.67,PG,2022-04-23 01:10:33
150,Camopi,3.1655,-52.3158,71.08,98,100,1.9,GF,2022-04-23 01:10:33
151,Kununurra,-15.7667,128.7333,85.98,32,6,8.05,AU,2022-04-23 01:10:34
152,Kungurtug,50.5994,97.5228,30.74,47,92,4.83,RU,2022-04-23 01:10:34
153,Pinawa,50.1489,-95.8811,37.0,95,100,12.39,CA,2022-04-23 01:10:34
154,Salinopolis,-0.6136,-47.3561,76.14,92,100,8.03,BR,2022-04-23 01:10:35
155,Kamina,-8.7386,24.9906,63.45,95,25,0.38,CD,2022-04-23 01:10:35
156,Phangnga,8.4509,98.5298,82.44,87,100,2.77,TH,2022-04-23 01:10:36
157,Vardo,70.3705,31.1107,36.1,84,99,15.21,NO,2022-04-23 01:10:36
158,Tahta,26.7693,31.5021,67.73,36,0,8.9,EG,2022-04-23 01:10:37
159,Bubaque,11.2833,-15.8333,76.37,80,99,12.8,GW,2022-04-23 01:06:38
160,Avanigadda,16.0215,80.9181,81.14,80,39,4.12,IN,2022-04-23 01:10:38
161,Khalkhal,37.6189,48.5258,44.19,74,0,1.95,IR,2022-04-23 01:10:38
162,Vitim,59.4511,112.5578,30.96,79,100,1.05,RU,2022-04-23 01:10:39
163,Billings,45.7833,-108.5007,41.29,89,100,11.5,US,2022-04-23 01:09:39
164,Mar Del Plata,-38.0023,-57.5575,53.62,92,75,13.0,AR,2022-04-23 01:06:28
165,La Sarre,48.8002,-79.1996,28.62,84,94,4.72,CA,2022-04-23 01:10:40
166,Andenes,69.3143,16.1194,33.78,86,40,2.3,NO,2022-04-23 01:07:28
167,Annau,37.8876,58.516,64.83,69,98,6.69,TM,2022-04-23 01:10:40
168,Grindavik,63.8424,-22.4338,45.07,81,100,11.5,IS,2022-04-23 01:06:46
169,Acarau,-2.8856,-40.12,77.49,87,99,8.1,BR,2022-04-23 01:10:41
170,Longyearbyen,78.2186,15.6401,19.24,73,75,1.14,SJ,2022-04-23 01:10:13
171,Qaanaaq,77.484,-69.3632,4.55,90,100,1.95,GL,2022-04-23 01:10:42
172,Ambilobe,-13.2,49.05,72.14,93,100,3.71,MG,2022-04-23 01:10:42
173,Myitkyina,25.3833,97.4,81.03,53,15,1.9,MM,2022-04-23 01:10:43
174,Nelson Bay,-32.7167,152.15,69.85,79,91,11.01,AU,2022-04-23 01:09:27
175,Kupino,54.3663,77.2981,29.93,50,30,11.7,RU,2022-04-23 01:10:44
176,Ponta Do Sol,32.6667,-17.1,63.23,70,68,12.26,PT,2022-04-23 01:10:44
177,Sioux Falls,43.55,-96.7003,80.46,57,40,26.46,US,2022-04-23 01:06:29
178,Lata,40.1629,-8.3327,50.81,96,100,4.07,PT,2022-04-23 01:10:45
179,Ankazoabo,-22.2833,44.5167,71.2,81,100,3.04,MG,2022-04-23 01:10:46
180,Luderitz,-26.6481,15.1594,58.91,78,0,16.49,NA,2022-04-23 01:10:46
181,Burtunay,42.9886,46.6303,41.59,91,100,2.84,RU,2022-04-23 01:10:46
182,Caravelas,-17.7125,-39.2481,74.62,81,27,6.06,BR,2022-04-23 01:10:47
183,Puerto Ayora,-0.7393,-90.3518,72.68,90,14,6.42,EC,2022-04-23 01:10:47
184,Puerto Escondido,15.85,-97.0667,83.23,65,75,3.44,MX,2022-04-23 01:10:48
185,Dingle,10.9995,122.6711,84.38,72,51,10.47,PH,2022-04-23 01:10:48
186,Constitucion,-35.3333,-72.4167,57.31,89,91,1.83,CL,2022-04-23 01:10:49
187,La Ronge,55.1001,-105.2842,35.87,90,100,4.74,CA,2022-04-23 01:11:49
188,Geraldton,-28.7667,114.6,72.01,40,0,23.02,AU,2022-04-23 01:11:50
189,Bambous Virieux,-20.3428,57.7575,75.45,60,20,13.8,MU,2022-04-23 01:11:50
190,Aykhal,66.0,111.5,12.4,88,100,6.35,RU,2022-04-23 01:11:51
191,Killybegs,54.6333,-8.45,46.98,77,1,10.74,IE,2022-04-23 01:11:51
192,Emerald,-23.5333,148.1667,72.34,72,82,18.39,AU,2022-04-23 01:11:08
193,Badou,7.5833,0.6,74.14,91,100,2.68,TG,2022-04-23 01:11:52
194,Yeniseysk,58.4497,92.1703,21.83,77,100,10.74,RU,2022-04-23 01:11:53
195,Novoagansk,61.9449,76.6625,10.71,86,100,14.23,RU,2022-04-23 01:11:53
196,Ormara,25.2088,64.6357,79.48,81,0,8.72,PK,2022-04-23 01:11:54
197,Tarauaca,-8.1614,-70.7656,74.5,91,94,2.98,BR,2022-04-23 01:11:54
198,Mombaca,-5.7431,-39.6275,74.16,81,100,3.44,BR,2022-04-23 01:11:55
199,Faanui,-16.4833,-151.75,79.88,71,53,4.65,PF,2022-04-23 01:11:55
200,Cape Town,-33.9258,18.4232,59.34,70,0,14.0,ZA,2022-04-23 01:11:56
201,Ixtapa,20.7,-105.2,76.23,78,20,10.36,MX,2022-04-23 01:11:56
202,Kaeo,-35.1,173.7833,69.33,60,48,10.85,NZ,2022-04-23 01:11:57
203,Pekan,3.4836,103.3996,80.98,85,18,3.29,MY,2022-04-23 01:08:10
204,Kisangani,0.5167,25.2,71.04,92,76,1.45,CD,2022-04-23 01:11:57
205,Hudson Bay,52.85,-102.3842,36.57,93,100,6.2,CA,2022-04-23 01:11:58
206,Ugoofaaru,5.6667,73.0,82.63,72,100,2.95,MV,2022-04-23 01:07:44
207,Saskylakh,71.9167,114.0833,2.48,96,100,4.38,RU,2022-04-23 01:11:59
208,Puerto Ayacucho,5.6639,-67.6236,77.52,82,19,2.86,VE,2022-04-23 01:11:59
209,Mbekenyera,-10.0,38.9833,69.87,95,100,2.21,TZ,2022-04-23 01:12:00
210,Tupik,54.4253,119.9327,29.77,63,100,7.74,RU,2022-04-23 01:12:00
211,Leh,34.1667,77.5833,34.74,69,77,3.18,IN,2022-04-23 01:12:01
212,Tuy Hoa,13.0833,109.3,81.84,72,25,1.03,VN,2022-04-23 01:12:02
213,Avarua,-21.2078,-159.775,80.65,78,100,13.8,CK,2022-04-23 01:10:05
214,Rosiori,44.8,27.3833,51.28,72,8,7.99,RO,2022-04-23 01:12:03
215,Guaruja,-23.9931,-46.2564,74.1,76,5,4.83,BR,2022-04-23 01:12:05
216,Sorong,-0.8833,131.25,79.43,84,100,2.44,ID,2022-04-23 01:12:06
217,Inhambane,-23.865,35.3833,71.02,83,100,3.47,MZ,2022-04-23 01:12:07
218,Chokurdakh,70.6333,147.9167,13.59,92,100,5.77,RU,2022-04-23 01:10:05
219,Jalu,29.0331,21.5482,74.17,13,25,10.22,LY,2022-04-23 01:12:08
